N;MUNICIPIO;UNIDADE TOMADORA DE SERVIÇO;Latitude;Longitude;CNPJ;ENDEREÇO;
1;Camaçari/BA;UTE Termocamaçari - UTE TCA;-12,66686802;-38,31468743;33.000.167/0230-71;Rua Eteno 2198, Polo Petroquímico -Camaçari - BA;
2;São Francisco do Conde/BA;UTE Termobahia - UTE TBA;-12,70323522;-38,5649039;33.000.167/0024-06;Rodovia BA 523, s/n, km 3,5, Mataripe - São Francisco do Conde - BA;
3;Caucáia/CE;UTE Termoceará - UTE TCE;-3,692456132;-38,87060505;33.000.167/0104-17;Rodovia CE-422, s/n, Pecem - Caucaia - CE;
4;Alto do Rodrigues/RN;UTE Vale do Açu - UTE VLA;-5,381685305;-36,81975448;33.000.167/0148-38;Sítio São José, s/n, Zona Rural - Alto do Rodrigues - RN;
5;Ipojuca/PE;Refinaria Abreu e Lima - RNEST;-8,379660515;-35,01019801;33.000.167/1111-08;Rodovia PE 60, km 10 - Ipojuca - PE;
6;Anchieta/ES;Unidade de Tratamento de Gás Sul Capixaba - UTGSUL;-20,7944642;-40,62091;33.000.167/0114-99;Estr. Estadual Anchieta-Guarapari Antiga, n° 2900, Bairro do Limão - Anchieta - ES;
7;Linhares/ES;Unidade de Tratamento de Gás de Cacimbas - UTGC;-19,46309712;-39,76060276;33.000.167/0118-12;Fazenda Monsaras, S/N, Povoação - Linhares - ES;
8;Duque de Caxias/RJ;Refinaria Duque de Caxias - REDUC;-22,71510043;-43,28400787;33.000.167/0088-62;Rod. Washington Luiz - Campos Elíseos,  Km 113 -Duque de Caxias - RJ.;
9;Duque de Caxias/RJ;UTE Termorio - UTE TRI;-22,7148817;-43,25434773;33.000.167/0092-49;Teresópolis, 185, Campos Elíseos - Duque de Caxias - RJ;
10;Itaboraí/RJ;Unidade de Tratamento de Gás de Itaboraí - UTGITB;-22,66071397;-42,85362894;33.000.167/0125-41;Rodovia Estadual RJ-116, Km 5,2 - Acesso A-1, s/n, Bairro Sambaetiba - Itaboraí - RJ;
11;Macaé/RJ;Unidade de Tratamento de Gás de Cabiúnas - UTGCAB;-22,2853272;-41,7179052;33.000.167/1044-03;Rodovia Amaral Peixoto, km 188, Cabiúnas - Macaé - RJ;
12;Macaé/RJ;UTE Termomacaé - UTE TMA;-22,30616408;-41,87670163;33.000.167/0087-81;Rodovia BR 101, s/n - Barra de Macaé - Macaé - RJ;
13;Seropédica/RJ;UTE Seropédica/Baixada Fluminense - UTE SRP/BF;-22,72329243;-43,64771891;33.000.167/0091-68;Rod. Pres. Dutra - Km 200, Jardim Maracanã - Seropédica - RJ;
14;Betim/MG;Refinaria Gabriel Passos - REGAP;-19,96428095;-44,09513841;33.000.167/0093-20;Av. Refinaria Gabriel Passos, 690 - Distrito Industrial Paulo Camilo Sul - Betim - MG;
15;Ibirité/MG;UTE Ibirité - UTE IBT;-19,98857939;-44,09820722;33.000.167/0023-17;Rodovia Alça Leste, s/n - Jardim das Rosas - Ibirité - MG;
16;Juiz de Fora/MG;UTE Juiz de Fora - UTE JF;-21,69061928;-43,45671981;33.000.167/0181-59;Estrada do Caracol, 595, Distrito Industrial - Juiz de Fora - MG;
17;Três Lagoas/MS;UTE Três Lagoas - UTE TLG;-20,74549953;-51,66459046;33.000.167/0117-31;Av. Mabel, s/n, Distrito Industrial - Três Lagoas - MS;
18;Caraguatatuba/SP;Unidade de Tratamento de Gás de Caraguatatuba - UTGCA;-23,65419147;-45,50120887;33.000.167/0121-18;Avenida José Herculano, s/nº, Pontal de Santa Marina - Caraguatatuba - SP;
19;Cubatão/SP;Refinaria Presidente Bernardes - RPBC;-23,87332573;-46,42757224;33.000.167/0147-57;Avenida 9 de Abril 777 Jardim das Industria, Centro - Cubatão - SP;
20;Cubatão/SP;UTE Cubatão - UTE CBT;-23,87573496;-46,43138746;33.000.167/0116-50;Praça Stênio Caio de Albuquerque, 1, Jardim das Industrias - Cubatão - SP;
21;Jardim Diamante/SP;Refinaria Henrique Lage - REVAP;-23,18479572;-45,81580627;33.000.167/0822-48;Rodovia Presidente Dutra, Km 143 S/N - Jardim Diamante - SP;
22;Mauá/SP;Refinaria de Capuava - RECAP;-23,65668063;-46,48088346;33.000.167/0852-63;Av. Alberto Soares Sampaio, 2122-A -Mauá - SP;
23;Paulínia/SP;Refinaria de Paulínia - REPLAN;-22,72958926;-47,14771222;33.000.167/0643-47;Rodovia SP-332 Km 130 s/n - Bonfim - Paulínia - SP;
24;São Paulo/SP;UTE Nova Piratininga - UTE NPI;-23,69941424;-46,67388121;33.000.167/0026-60;Avenida Nossa Senhora do Sabará, 5312, Vila Emir - São Paulo - SP;
25;Araucária/PR;Refinaria Presidente Getúlio Vargas - REPAR;-25,56614047;-49,36942322;33.000.167/0809-70;BR-476, Rodovia do Xisto, KM 16, São Thomáz - Araucária - PR;
26;Canoas/RS;Refinaria Alberto Pasqualini - REFAP;-29,86990089;-51,17819451;33.000.167/0102-55;Av. Getúlio Vargas, 11001 - Brigadeira - Canoas - RS;
27;Canoas/RS;UTE Canoas - UTE CAN;-29,87507125;-51,14544486;33.000.167/0071-14;Rua Antonio Frederico Ozanan, 4000, Bairro Sao José - Canoas - RS;
28;Rio de Janeiro / RJ;Armazém Rio de Janeiro;-22,810973;-43,28187625;33.000.167/0226-95;Rua Francisco de Souza e Melo, 1580 - Cordovil - Rio de Janeiro - RJ;
29;Rio de Janeiro / RJ;CILEP - CENPES;-22,85419792;-43,23382961;33.000.167/0819-42;Avenida Horácio Macedo, 950 - Cidade Universitária - Rio de Janeiro;
30;Porto Baia de Guanabara - RJ;Porto Baia de Guanabara ;-22,87894176;-43,20933035;33.000.167/0769-49;Avenida Rio de Janeiro, 675 – Caju Rio de Janeiro;
31;Macaé / RJ;ARM Macaé - Armazém Macaé;-22,41531747;-41,86135331;33.000.167/1055-58;Rod Amaral Peixoto, 11000 KM 177, Imboassíca, Macaé, RJ ;
32;Macaé - RJ;Porto de Imbetiba - Macaé;-22,38682511;-41,76874123;33.000.167/1007-50;Av. Elias Agostinho, 2 - Centro, Macaé - RJ;
33;Porto Açú -RJ;Porto Açu;-21,8399506;-41,04023009;33.000.167/0001-01;Fazenda Saco D’Antas, Via 5 Projetada, S/N – Distrito Industrial /Porto do Açu – RJ;
34;Salvador - BA;Porto Aratu ;-12,78013214;-38,4967645;33.000.167/0132-70;Estrada da Base Naval, S/N - São Tomé de Paripe - Salvador/BA;
35;Barra dos Coqueiros - SE;Porto TMIB;-10,82412908;-36,94630095;33.000.167/0020-74;Rodovia SE 226 Km 22, Barra dos Coqueiros - SE;
36;Belém - PA;Porto Belém;-1,439900541;-48,49492047;33.000.167/1130-62;Av. Marechal Hermes, Praça Pedro Teixeira, Centro. Belém/PA;
37;Valença - BA;Porto Valença;-13,36936931;-39,07125238;33.000.167/0132-70;Av. Maçônica, 50 - Centro, Valença - BA;
38;Guamaré - RN;Porto Guamaré;-5,106692025;-36,3195916;33.000.167/1091-11;R. Aratuá, 19, Guamaré - RN;
39;Fortaleza - CE;Porto Mucuripe ;-3,713116643;-38,47403658;33.000.167/0055-02;Companhia Docas do Ceará - Praça Amigos da Marinha, s/n - Mucuripe, Fortaleza ;
40;Paracuru - CE;Porto Paracuru;-3,401146128;-39,01089613;33.000.167/0041-07;Estrada Loc Lagoa Grande Praia da Pedra Rachada, Paracuru - CE;
;;;;;;;
